ID,Gender,Age,Race,IncludedInPrimaryAnalyses,IncludedInSuppAnalyses,NotCompliant,PerfectDefinitions,MarginalDefinitions,PrimaryAnalysesOutlier,SuppAnalysesOutlier,TooManyTrialsWithNoEmotion,EmotionDifferentiationScore,AverageEmotionIntensity,ExtremeScaleUse,SingleEmotionExperience,AngryDefScore,DisgustedDefScore,SadDefScore,ScaredDefScore,UpsetDefScore
1,1,4.4736,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN
2,1,5.2539,3,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,2,2,0,0
3,1,4.1807,8,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN
4,1,4.293,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,1,1,1,2,0
5,1,4.9747,1,0,0,0,0,0,0,0,1,0.030133,1.3651,48.664,6.7253,2,0,2,2,2
6,2,4.4764,7,0,0,1,0,1,0,0,0,NA,NA,NA,NA,2,2,1,2,1
7,2,4.2026,1,0,0,0,0,0,0,0,0,-0.018096,34.46,46.178,73.155,2,0,2,2,2
8,2,4.4901,8,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN
9,2,4.4025,1,0,0,0,1,1,0,0,1,-0.43786,2.7264,49.311,4.1413,2,2,2,2,2
10,2,4.1314,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0
11,1,5.807,1,1,1,0,1,1,0,0,0,-0.073443,40.732,45.561,58.441,2,2,2,2,2
12,1,5.8891,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN
13,1,5.3169,1,0,0,0,0,0,0,0,0,-0.20513,77.2,47.347,28.387,1,0,0,2,0
14,1,5.9384,1,0,1,0,0,1,0,0,0,-0.21479,32.632,46.142,49.309,2,2,1,2,2
15,1,4.8706,8,0,0,0,0,0,0,0,0,-0.55619,78.345,47.988,20.87,1,0,0,0,1
16,2,5.347,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN
17,2,5.7823,1,1,1,0,1,1,0,0,0,-0.17239,37.506,47.568,62.493,2,2,2,2,2
19,2,5.5441,1,0,1,0,0,1,0,0,0,-0.36851,44.136,39.51,39.836,2,2,2,1,2
20,2,5.8836,8,1,1,0,1,1,0,0,0,-0.28568,52.148,45.141,46.293,2,2,2,2,2
21,1,6.757,1,1,1,0,1,1,0,0,0,-0.15841,54.6,34.589,44.917,2,2,2,2,2
22,1,6.9076,1,0,0,0,0,0,0,0,0,-0.24887,36.569,43.989,48.474,2,1,0,2,2
23,1,6.3765,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,2,0,2,2,1
24,1,6.6256,8,0,0,1,0,0,0,0,0,NA,NA,NA,NA,2,0,2,2,2
25,1,6.9979,8,0,0,0,0,0,0,0,0,-0.026846,47.901,45.589,61.81,2,0,2,2,2
26,2,6.2423,1,1,1,0,1,1,0,0,0,-0.11896,44.398,45.001,50.519,2,2,2,2,2
27,2,6.7953,1,1,1,0,1,1,0,0,0,0.00084231,42.137,43.276,58.256,2,2,2,2,2
29,2,6.9377,1,0,0,0,0,0,0,0,1,-0.45709,15.294,45.639,22.929,2,0,2,2,2
30,2,6.8775,1,0,0,0,1,1,0,0,1,-0.59842,21.604,49.216,17.956,2,2,2,2,2
31,1,7.603,1,1,1,0,1,1,0,0,0,-0.097146,46.693,45.682,55.588,2,2,2,2,2
32,1,7.8877,1,1,1,0,1,1,0,0,0,0.051837,25.773,41.915,64.366,2,2,2,2,2
33,1,7.9452,1,1,1,0,1,1,0,0,0,-0.14945,21.958,40.692,49.54,2,2,2,2,2
34,1,7.4305,1,0,0,0,0,0,0,0,0,-0.075522,44.924,49.924,62.595,2,1,2,2,0
35,1,7.2498,1,0,0,0,0,1,0,1,0,0.0047896,23.217,48.783,68.702,2,1,2,2,2
36,2,7.6687,8,0,1,0,0,1,0,0,0,-0.10955,13.939,41.342,32.948,2,1,1,2,2
38,2,7.666,1,0,1,0,0,1,0,0,0,-0.59886,6.2936,44.022,10.503,2,2,1,2,2
39,2,7.6057,1,1,1,0,1,1,0,0,0,-0.3288,48.487,41.963,41.122,2,2,2,2,2
40,2,7.1129,1,1,1,0,1,1,0,0,0,-0.046237,59.938,40.565,42.338,2,2,2,2,2
