Subject,StartDate,EndDate,Random,AttnChk,Chopra_Check,Age,Sex,English,Education,State,BullshitReceptivity,BullshitScale,ChopraScale,BSR_meaningless,BSR_meaningful,HeuristicsBiases,NFC,Faith_Intuition,Numeracy_ACC,WS_ACC,Ravens_ACC,OntologicalConfusions,Metaphors,LiteralStatements,Religious_Belief,Paranormal_Belief,BS_Chopra,BS_Other,NFC_Re,NFC_Ra,Faith_Intuition_Ee,Faith_Intuition_Ea,FreeMarketIdeology,FiscalCons,SocialCons,Party,Party_TEXT,PolTrust,GovTrust,DemGovTrus,RepGovTrus,WealthDistCondition,EstimateRatio,IdealRatio,Estimate_Top20,Estimate_2nd20,Estimate_Middle20,Estimate_4th20,Estimate_Bottom20,Ideal_Top20,Ideal_2nd20,Ideal_Middle20,Ideal_4th20,Ideal_Bottom20,FMI_split,WealthDistError,WealthDistErrorType,IdealDistError,IdealDistErrorType,GodType,RBS_Curren,RBS_Highes,RBS_Lowest,Ravens_ACC_P1,Ravens_ACC_P2,BS_1,BS_2,BS_3,BS_4,BS_5,BS_6,BS_7,BS_8,BS_9,BS_10,BS_11,BS_12,BS_13,BS_14,BS_15,BS_16,BS_17,BS_18,BS_19,BS_20,Chopra_1,Chopra_2,Chopra_3,Chopra_4,Chopra_5,Chopra_6,Chopra_7,Chopra_8,Chopra_9,Chopra_10,CausalBR_ACC,SampleSize_ACC_1,SampleSize_ACC_2,Regr2Mean_ACC,GamblerFallacy_ACC_1,GamblerFallacy_ACC_2,ConjunctionFallacy_ACC_1,ConjunctionFallacy_ACC_2,ConjunctionFallacy_ACC,Covariation_ACC,MethodReasoning_ACC,Bayesian_ACC,DenNeglect_ACC,ProbMatch_ACC,SunkCost_ACC,OutcomeBias_ACC,Numeracy_ACC_1,Numeracy_ACC_2,Numeracy_ACC_3,Numeracy_ACC_4,Numeracy_ACC_5,Numeracy_ACC_6,Numeracy_ACC_7,Numeracy_ACC_8,Numeracy_ACC_9,WS_ACC_1,WS_ACC_2,WS_ACC_3,WS_ACC_4,WS_ACC_5,WS_ACC_6,WS_ACC_7,WS_ACC_8,WS_ACC_9,WS_ACC_10,WS_ACC_11,WS_ACC_12,Ravens_ACC_1,Ravens_ACC_2,Ravens_ACC_3,Ravens_ACC_4,Ravens_ACC_5,Ravens_ACC_6,Ravens_ACC_7,Ravens_ACC_8,Ravens_ACC_9,Ravens_ACC_10,Ravens_ACC_11,Ravens_ACC_12,P.OC_1,P.OC_2,P.OC_3,P.OC_4,P.OC_5,P.OC_6,P.OC_7,P.OC_8,P.OC_9,P.OC_10,P.OC_11,P.OC_12,P.OC_13,P.OC_14,P.OC_15,P.OC_16,P.OC_17,P.OC_18,P.OC_19,P.OC_20,PRafterlife,PRheaven,PRhell,PRmiracles,PRangels,PRdemons,PRsoul,PRsatan,P.PB_1,P.PB_2,P.PB_3,P.PB_4,P.PB_5,P.PB_6,P.PB_7,P.PB_8,P.PB_9,P.PB_10,P.PB_11,P.PB_12,P.PB_13,P.PB_14,P.PB_15,P.PB_16,P.PB_17,P.PB_18,P.PB_19,P.PB_20,P.PB_21,P.PB_22,P.RI_1,P.RI_2,P.RI_3,P.RI_4,P.RI_5,P.RI_6,P.RI_7,P.RI_8,P.RI_9,P.RI_10,P.RI_11,P.RI_12,P.RI_13,P.RI_14,P.RI_15,P.RI_16,P.RI_17,P.RI_18,P.RI_19,P.RI_20,P.EI_1,P.EI_2,P.EI_3,P.EI_4,P.EI_5,P.EI_6,P.EI_7,P.EI_8,P.EI_9,P.EI_10,P.EI_11,P.EI_12,P.EI_13,P.EI_14,P.EI_15,P.EI_16,P.EI_17,P.EI_18,P.EI_19,P.EI_20,P.FMI_1,P.FMI_2,P.FMI_3,P.FMI_4,P.FMI_5
1,7/9/2014,7/9/2014,2,1,1,25,1,1,6,48,3.1,3.05,3.2,2.4,3.8,.375,60,55,.666666666666667,.5,.333333333333333,48.2142857142857,25,66.6666666666667,100,5.3030303030303,2.8,3.3,47.5,72.5,55,55,40,5,5,2, ,3,3,2,5,1,10.3333333333333,1.85714285714286,62,13,10,9,6,26,23,20,17,14,1,0,0,0,0,1,10,10,10,1,1,4,2,2,2,3,3,2,3,4,3,2,4,3,4,2,5,4,3,3,3,3,4,2,4,3,4,3,3,4,2,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,75,75,75,50,50,25,75,25,50,50,75,25,25,0,50,0,25,50,100,50,100,100,100,100,100,100,100,100,0,0,0,50,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,50,0,0,0,0,0,50,50,25,100,50,50,100,75,25,25,25,75,100,100,75,75,75,50,50,25,75,100,25,75,75,75,75,25,50,25,25,75,75,50,50,0,75,75,50,25,50,50,25,50,25
2,7/9/2014,7/9/2014,2,1,1,53,2,1,5,20,2.66666666666667,2.6,2.8,2.2,2.4,.1875,71.25,71.0526315789474,.666666666666667,.5,.272727272727273,58.9285714285714,66.6666666666667,58.3333333333333,68.75,56.8181818181818,2.3,2.9,67.5,75,75,66.6666666666667,30,4,4,1, ,3,4,4,2,1,10.5,1.10526315789474,42,30,20,4,4,21,20,20,20,19,1,0,0,1,1,7,6,7,4,1,1,2,2,2,1,2,2,3,3,4,2,3,3,2,3,3,2,3,4,3,3,2,2,2,3,3,4,4,3,2,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1, ,0,0,0,0,1,0,0,75,50,100,75,0,75,75,0,100,100,75,25,50,25,100,25,75,75,75,25,75,75,50,75,75,100,25,75,50,66.6666666666667,33.3333333333333,66.6666666666667,50,83.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,66.6666666666667,50,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,16.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,50,75,75,75,75,75,75,100,75,75,75,50,75,75,75,75,75,75,75,25,75,75,75, ,75,75,100,75,75,75,75,75,75,75,25,75,25,75,75,75,25,25,50,25,25
3,7/9/2014,7/9/2014,2,1,1,31,2,1,4,40,3.3,3.35,3.2,2.8,3.4,.5,56.25,63.75,.666666666666667,.75,.416666666666667,8.92857142857143,8.33333333333333,75,18.75,48.4848484848485,3.1,3.6,60,52.5,62.5,65,70,1,1,3, ,1,1,1,1,1,8,1,40,29,19,7,5,20,20,20,20,20,2,0,0,0,0,4,3,5,1,1,1,3,2,2,4,4,4,3,4,4,2,2,4,3,3,4,4,3,4,4,4,3,4,2,2,2,4,4,4,3,4,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,100,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,25,100,100,25,0,0,25,25,25,50,0,66.6666666666667,66.6666666666667,0,50,50,33.3333333333333,16.6666666666667,50,0,50,50,33.3333333333333,66.6666666666667,66.6666666666667,0,50,83.3333333333333,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,50,50,75,50,50,75,50,50,25,50,50,25,50,75,75,75,75,50,50,75,75,50,75,75,75,75,75,75,50,50,75,50,50,50,75,50,50,75,75,50,100,75,25,75,75
5,7/9/2014,7/9/2014,2,1,2,39,1,1,9,12,1.9,1.8,2.1,1.6,2.4,.8125,91.25,40,1,.916666666666667,.5,8.92857142857143,8.33333333333333,75,37.5,2.27272727272727,1.7,1.9,95,87.5,35,45,10,1,1,1, ,4,3,3,2,1,17.3333333333333,2.72727272727273,52,20,15,10,3,30,25,20,14,11,1,0,0,0,0,3,5,7,3,1,1,2,1,2,3,2,1,2,4,2,1,2,1,2,1,1,3,1,2,1,2,4,3,1,2,1,1,4,3,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,25,25,0,25,25,0,0,25,0,0,0,0,25,0,0,25,100,100,50,50,25,25,25,25,75,25,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,16.6666666666667,16.6666666666667,0,0,0,0,0,0,100,100,100,100,100,100,100,75,100,75,100,75,100,75,100,100,75,75,75,100,25,75,50,50,50,25,25,50,50,50,50,25,25,25,50,25,25,50,25,50,0,25,25,0,0
6,7/9/2014,7/9/2014,2,1,1,24,2,1,5,17,3.56666666666667,3.35,4,2.4,3.4,.375,50,72.5,1,.666666666666667,.333333333333333,28.5714285714286,16.6666666666667,100,53.125,50,3.2,3.5,37.5,62.5,77.5,67.5,50,4,2,2, ,2,2,2,3,1, ,1, , , , , ,20,20,20,20,20, ,1,1,0,0,3,6,8,5,1,1,2,3,5,2,4,4,4,4,3,3,1,4,4,4,3,4,3,3,3,4,4,5,4,4,4,4,4,3,4,4,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,25,75,50,25,25,0,25,25,50,25,25,0,25,25,25,0,25,100,100,100,50,50,50,75,50,50,50,50,50,50,16.6666666666667,66.6666666666667,16.6666666666667,50,50,50,66.6666666666667,66.6666666666667,33.3333333333333,33.3333333333333,50,33.3333333333333,50,50,66.6666666666667,50,66.6666666666667,50,66.6666666666667,66.6666666666667,25,75,50,75,50,25,50,50,50,25,25,75,50,50,25,75,75,25,50,75,75,75,75,75,75,75,75,75,75,75,100,75,75,75,75,75,25,75,75,50,50,25,75,25,75
7,7/9/2014,7/9/2014,2,1,1,25,1,1,3,26,3.93333333333333,3.85,4.1,3.4,4.2,.625,62.5,81.25,.333333333333333,.666666666666667,0,50,66.6666666666667,100,100,24.2424242424242,4,3.7,50,75,85,77.5,35,2,3,4, ,1,1,2,1,1, ,1, , , , , ,20,20,20,20,20,1,1,3,0,0,1,10,10,9,1,0,4,3,5,4,5,2,4,5,4,3,4,5,4,3,3,4,4,3,3,5,3,4,5,3,4,5,5,5,4,3,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,100,75,25,75,75,25,25,75,25,0,25,25,100,0,100,100,100,100,100,100,100,100,100,100,100,100,0,66.6666666666667,0,83.3333333333333,0,16.6666666666667,0,16.6666666666667,0,83.3333333333333,0,0,0,16.6666666666667,0,66.6666666666667,50,0,33.3333333333333,16.6666666666667,66.6666666666667,16.6666666666667,75,75,75,25,75,25,25,75,75,25,75,75,100,100,25,25,100,25,100,75,75,100,75,100,100,100,75,75,100,75,100,25,100,100,100,75,0,100,75,75,0,100,0,75,0
8,7/9/2014,7/9/2014,2,1,1,35,2,1,5,39,2.03333333333333,2,2.1,1.6,2.6,.375,8.75,81.25,.333333333333333,.5,.166666666666667,23.2142857142857,8.33333333333333,83.3333333333333,100,4.54545454545455,1.8,2.2,5,12.5,77.5,85,50,3,3,1, ,4,2,2,2,1,18,1,54,21,14,8,3,20,20,20,20,20, ,0,0,0,0,1,10,10,1,1,1,2,1,2,2,1,2,2,3,2,2,2,2,2,2,2,4,2,2,1,2,2,3,2,2,2,1,2,2,2,3,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,25,25,0,0,0,50,0,100,25,25,0,0,25,0,25,0,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,25,0,0,0,0,25,0,0,0,0,0,0,25,0,0,100,0,0,0,0,100,100,100,100,100,100,100,100,100,100,0,0,100,100,75,75,0,100,75,100,50,50,50,50,50
9,7/9/2014,7/9/2014,2,1,1,46,2,1,5,5,2.53333333333333,2.45,2.7,2.6,2.6,.3125,72.5,72.5,.666666666666667,1,.5,35.7142857142857,25,91.6666666666667,59.375,59.8484848484848,2.3,2.6,77.5,67.5,75,70,50,2,1,1, ,2,3,4,2,1,12,3,60,20,10,5,5,30,25,20,15,10, ,0,0,0,0,2,8,9,5,1,1,2,1,3,4,3,3,2,3,2,4,2,2,2,2,2,2,4,2,2,2,3,3,4,1,3,3,2,3,2,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,75,50,75,50,50,50,75,25,0,25,0,0,0,25,25,0,50,75,100,100,75,50,25,75,75,75,75,25,50,66.6666666666667,33.3333333333333,83.3333333333333,50,50,66.6666666666667,83.3333333333333,16.6666666666667,83.3333333333333,50,33.3333333333333,66.6666666666667,66.6666666666667,16.6666666666667,66.6666666666667,50,83.3333333333333,66.6666666666667,83.3333333333333,66.6666666666667,83.3333333333333,75,50,75,75,75,75,100,75,50,75,75,50,25,75,75,75,100,75,100,75,50,75,75,75,75,75,75,100,75,75,75,75,75,100,50,75,25,75,75,75,50,25,50,75,50
10,7/9/2014,7/9/2014,2,1,1,28,1,1,6,36,1,1,1,1,1,.875,66.25,17.5,1,.666666666666667,.363636363636364,12.5,16.6666666666667,83.3333333333333,0,0,1,1,60,72.5,22.5,12.5,25,2,2,1, ,4,2,2,2,1,15,1,60,15,12,9,4,20,20,20,20,20,1,0,0,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1, ,1,0,0,0,0,0,0,0,25,50,25,25,25,25,0,0,0,0,0,0,0,0,25,25,75,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,75,100,75,25,75,100,75,25,25,25,75,75,25,75,75,100,75,75,0,25,0,0,0,0,0,0,0,25,0,100,0,0,0,100,75,0,0,25,25,25,25,25,25
11,7/9/2014,7/9/2014,2,1,1,41,1,1,6,36,2.6,2.35,3.1,1.4,2.6,.75,75,63.75,1,.666666666666667,.416666666666667,30.3571428571429,8.33333333333333,91.6666666666667,9.375,2.27272727272727,2.2,2.5,72.2222222222222,77.5,65,62.5,40,3,2,1, ,1,2,2,1,1, , , , , , , , , , , , ,1,1,2,1,2,6,2,4,1,1,1,3,1,3,1,2,4,2,2,3,1,2,2,3,3,2,3,2,3,2,3,2,3,1,3,4,3,3,4,4,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,50,0,100,50,25,25,100,50,25,0,0,0,0,0,25,0,0,75,100,100,25,0,0,25,0,0,25,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,16.6666666666667,75,100,75,0,75,75,75,100,100,75,75,100,75,100,50,100,75, ,25,75,50,75,50,75,50,50,100,75,100,75,75,75,75,100,50,50,0,50,100,0,75,25,50,50,0
